雨の日の,下校のときに,見た枝は,くもの巣さえも,美しきかな
祖母よりも,包丁うまく,使えても,桃を切ってと,祖母に甘える
車窓から,夜景を見ている,帰り道,自分も誰かの,夜景の一部で
あの曲を,聞けばあの頃,思い出す,今の私は,どの曲だろう
コンパスを,1周回し,ぴったりと,線合う時の,軽い快感
団結と,縛る鎖の,端持って,ぷらんぷらんと,縄跳び跳ぼう
「久しぶり,ちっちゃくなった？」は ,常套句,さん付けはもう,懐かしい春
怠いから,やめてしまった,告白を,ソーダに混ぜて,空に流した
何色に,染まればいいか,わからない,私を置いて,いく空の青さよ
目が合って,ニコッとされて,目をそらす,そらしたことを,後悔してる
背伸びして,届かなかった,身長も,今では見える,母の白い髪
知ってるよ,あなたが誰に,対しても,優しかったり,することぐらい
君からの,「会いたい」だけで,モノクロな,僕の世界は,すぐに色づく
ぴこんぴこん,いらない通知は,響くのに,今日も鳴らない,君のアイコン
なんでだよ,デートも旅行も,雨ばっか,フラれたときだけ,真っ青な空
もう知らない,二度と彼氏は,作らない」, 「おんなじセリフ,聞いたの四度目
振り返り,笑顔のあなたと,目があった,この一瞬が,続けばいいのに
赤い糸,旅立つ朝に,結んだの,何処へ行っても,ほどけないよう
無我夢中,ジグソーパズル,千ピース,あいつを忘れ,徹夜で完成
楽しげに,金魚を掬う,君の目の,灯りゆらゆら,心も揺れて
授業中,ただ眺めてる,横顔を,ノート真っ白い,ままチャイム鳴る
送られて,傘を外れた,別れ際,あなたの肩が,右だけ濡れてた
好きなのに,好きだと言えぬ,もどかしさ,いつになったら,いえるのかな
〝落ちてたよ〟, 君が拾って,くれたから,文字も記憶も, 消せない消しゴム
左手を,独り占めする,帰り道,赤くなってる,あなたを見ながら
バレンタイン,後輩たちから, 囲まれる,あいつを私は,見てるだけ
黄昏時,二人を照らす,影一つ,二つの心,すきま風
あなたの目,映っているのは, あの子の笑顔,そこに私は,いないから
距離だけは,近づいたのに,遠いまま,あなたの心と,私の心
隣席の,「忘れ物した」,心の中で,ガッツポーズ,したのばれてないよね？
反対の,ホームに立った,キミとボク,時の電車が,いま引き裂いた
千回を,越えて通いし,老人ホーム,ひなたぼっこの,思い出ばかり
千年も,万年も生く,この亀に,優しい人と,記憶されたい
千冊の,哲学書より,なほわれを,大人にしたり,君との別れ
夕光を,使ひ切るまで,影を連れ,一人刈り行く,千枚田かな
千年後,夢のかけらの,宇宙ゴミが,土星のように,輪になる地球
千年を,越えて私を,かき乱す,期末テストの,光源氏よ
千羽鶴、,千人針も,役立たぬ,そんな事皆,わかっていたのだ
海へ行く,みたいに自転車,こいでゆく,ドラッグストアにも,ちょっとある海
あきまへん、,大型店に,囲まれて,店を閉じます、,親父よ御免
玄関を,閉めた閉めない,閉めたはず,動詞活用,みたいな朝
再婚の,意味を知る子と,知らぬ子が,砂のトンネル,開通させる
嫁ぐ朝,父にもらいし,花鋏,五十年たち,今朝萩を切る
真空の,パックに鋏を,入れし時,切り身は大きく,深呼吸なす
「用務員,さんに挨拶を」,新任校へ,向かはむわれに,父はひとこと
最期まで,一人称は『,ママ』なりき「,ママは幸せ,だつた」とわたしに
隣室の,ラジオが聞こえて,くる夕べ,これから眠る,町がふくらむ
口コミの,ぷーすけさんが,見た空を,私も見てる,賃貸の部屋
野放図な,亡父だったけど,鮎食めば,皿に清しく,骨の一本
とんぼにも,淋しきときの,あるらしく,立てたる指に,また来てとまる
春の陽を,生け捕りにせむ,ベランダに,投網のごとく,シーツ干したり
子の部屋の,四畳半に,間借りする,甕の梅干し,木箱の林檎
電線の,影をいくつも,跳び越えて,海へと走る,わたしは夏だ
夕暮れは,なぜかさびしい,身のうちの,ネアンデルタール,人がそう言う
道端に,落としたような,カギ括弧,雨の降り方,少し気にして
通勤の,無言片道,一時間,聞こえる音だけ,拾われている
あの頃の,上司の歳,になってみて,思い出すのは,手帳の厚さ
事務職と,いう年月が,頼りなく,思えた新刊,新書コーナー
声高に,ＤＸが,語られた,経済雑誌を,棚へともどす
報告書,メールで送り,そういえば,課長の筆跡,見たことがない
近頃は,電子契約,増えており,押印逆さに,した日は遠く
税額を,確認しては,貼っていた,一万円の,収入印紙
転勤も,異動もあった,これまでに,積んだスキルを,見せてください
書架にある,古い文書を,開くたび,手書きの文字が,息をしている
クリップの,形のままに,錆がつき,平成一桁,稟議書捨てる
朱の色は,時間をかけて,淡くなり,書類にならぶ,印影をよむ
リスキリング,予算一兆,円という,ななめ読みして,研ぐ米二合
涼やかな,青空出社の,足元は,白のオニツカ,タイガーにする
田子の浦に,うちいでて見れば,白妙の,富士の高嶺に,雪はふりつつ
天の原,富士のけぶりの,春の色の,霞になびく,あけぼのの空
道すがら,富士のけぶりも,わかざりき,晴るる間もなき,空のけしきに
しるしなき,けぶりを雲に,まがへつつ,夜を経て富士の,山と燃えなむ
けぶり立つ,思ひならねど,人しれず,わびては富士の,ねをのみぞ泣く
富士の嶺の,煙もなほぞ,立ちのぼる,うへなきものは,おもひなりけり
世の中を,心たかくも,いとふかな,富士のけぶりを,身の思ひにて
風になびく,富士の煙の,空に消えて,行方もしらぬ,わが思かな
時知らぬ,山は富士の嶺,いつとてか,鹿の子まだらに,雪の降るらむ
見わたせば,雲居はるかに,雪白し,富士の高嶺の,あけぼのの空
ここからは,富士が見えなくて,さびしいと,わたしがいるのに,妻がつぶやく
富士山は,背中を押して,くれました,職なきときも,離職のときも
人間は,ちっぽけなものだと,五合目で,言うな父さん,富士山顔で
参考書,開くその手は,そのままに,車窓の富士に,誓う合格
江戸川に,富士を見にゆく,何もかも,リセットしてし,まいたくなるとき
山のなか,小さくなってく,友の背と,大きくなった,蝉の鳴き声
念願の,あの頂に,立つために,富士を横目に,今日も漕ぎ抜く
富士山の,晴れたる夜は,山小屋の,明り点々,空へと続く
大きいな,とても大きい,大きいぜ,こんな器に,私はなりたい
教室の,窓の向こうに,見える富士,履修の日々が,離愁に変わる
地面蹴り,目指すはゴール,一番に,明日で引退,悔いはない
自己ベスト,記録更新,目標に,今日も頑張る,全力疾走
打席立つ,相手を睨み,白球を,投げては伝う,大粒の汗
ベンチから,声援おくる,後輩に,野球部の夏,過ぎていく
おかしいぞ,ボール蹴り上げ,早3年,モテると聞いて,入部したのに
青空と,吐く息白い,運動場,ボール追いかけ,ホイッスル鳴る
球拾い,早くはきたい,憧れの,スコート夢見て,毎日努力
漫画読み,はじめたテニス,楽しくて,今ではハマリ,目指せ優勝
合奏中,一人で吹いて,講師言う,ホルン持ち上げ,緊張の一音
コンクール,ゴールド金賞,聞きたくて,休日返上,今日も練習
歌声が,混じり奏でる,ハーモニー,目指すは優勝,最後の舞台
合唱部,花粉大敵,声変わる,完全防備,クシャミを一つ
静けさに,届けと祈る,私の気持ち,君のボール,リングに入る
ダンダンと,鳴り響く音,体育館,暑さに負けず,汗拭う俺
一本を,とるため己,鍛え抜く,防具を脱いで,涼やかな顔
間を読んで,一触即発,ズイズイと,こわばる空気,剣で切り裂く
永遠と,ラリーが続き,汗つたう,生き飲む会場,響くピンポン
楽しそう,気楽に入った,卓球部,意外とキツいぞ,反復横跳び
強敵だ,怯まず挑む,全員で,仲間と繋ぐ,バレーのボール
寒い冬,身体にあたる,ボールが痛い,だけど辞めない,春はもうすぐ
和英辞書,片手に教えた,折鶴は,海をも越える,友情の証
さびしいな,みんなとお別れ,いやだけど,新しい一歩,踏み出していこう
泣き笑い,仲間とともに,輝いた,思い出胸に,夢へ羽ばたけ
ありがとう,いつも一緒に,いてくれて,離れていても,心はともに
巡りあい,今でも続く,腐れ縁,出会いなければ,わたしはいない
時忘れ,気付けば長居,してしまう,それが友との,語り合いなり
価値観が,違うからこそ,言い合って,理解し合って,深まる絆
なつかしき,ベーゴマ握り,友達と,夢中にあそぶ,十三の秋
思い出の,手紙の返事,まちわびて,日々わすれない,ポストのチェック
登校時,「行きたくないな」と,言ってても,行ったら行ったで,楽しい学校
電車にて,幼なじみの,あの人に,小さいままだと,言われた私
暑い夏,汗水たらし,がむしゃらに,最高の仲間と,最後の舞台
友達と,話した時間,永遠に,私の記憶,残り続けて
帰り道,雨でも友達,一緒なら,晴れにも負けない,楽しい時間
スマートフォン,人と人とを,繋げれる,友達つくる,近道になる
制服も,この風景も,友達も,ここにしかない,宝物です
読書中,友達が来て,中断に,話に夢中で,内容忘れる
友達と,大きな夢を,かたりあう,心ははずみ,笑顔にかわる
