code,prefecture,city,latitude,longitude
01101,北海道,札幌市中央区,43.053101118181786,141.3371456989903
01102,北海道,札幌市北区,43.11416396688754,141.3389050208135
01103,北海道,札幌市東区,43.096829312217196,141.3739233457016
01104,北海道,札幌市白石区,43.05267577826091,141.41469903913045
01105,北海道,札幌市豊平区,43.03046357223263,141.38349404502807
01106,北海道,札幌市南区,42.98241040721656,141.32436653350499
01107,北海道,札幌市西区,43.08074637049747,141.28994896054897
01108,北海道,札幌市厚別区,43.03895026470588,141.47533554901966
01109,北海道,札幌市手稲区,43.12251098913044,141.24430332608688
01110,北海道,札幌市清田区,42.99601874178405,141.45071493427244
01202,北海道,函館市,41.79927096618354,140.8303532705313
01203,北海道,小樽市,43.18659339583335,141.00518140277788
01204,北海道,旭川市,43.77455701715801,142.37782647910262
01205,北海道,室蘭市,42.34344026717558,140.98920907633595
01206,北海道,釧路市,43.05537184546801,144.2477752956909
01207,北海道,帯広市,42.89271383396706,143.1818097363751
01208,北海道,北見市,43.8152867427885,143.86115593509595
01209,北海道,夕張市,43.033712507042274,142.0305436478873
01210,北海道,岩見沢市,43.19226988967971,141.76332204982208
01211,北海道,網走市,44.01372005190309,144.26364109342546
01212,北海道,留萌市,43.934825116666715,141.65453265833332
01213,北海道,苫小牧市,42.64342949363056,141.59599329936296
01214,北海道,稚内市,45.401244663551395,141.6948377196261
01215,北海道,美唄市,43.33157002388058,141.8682864089554
01216,北海道,芦別市,43.5178032173913,142.1864638405797
01217,北海道,江別市,43.103952666666665,141.5396261825397
01218,北海道,赤平市,43.55319959067356,142.06775139896357
01219,北海道,紋別市,44.309919823529405,143.33292407352937
01220,北海道,士別市,44.173513035461035,142.3986330685579
01221,北海道,名寄市,44.351741755447925,142.4572744334141
01222,北海道,三笠市,43.250704765432076,141.91695946913583
01223,北海道,根室市,43.32556598876403,145.58858382584273
01224,北海道,千歳市,42.826878595238114,141.63507419387753
01225,北海道,滝川市,43.569902688311686,141.91713673376606
01226,北海道,砂川市,43.495970046843155,141.910233441955
01227,北海道,歌志内市,43.50141977777778,142.03501333333335
01228,北海道,深川市,43.73609148000001,142.05884644
01229,北海道,富良野市,43.29938583486239,142.4066711284404
01230,北海道,登別市,42.411288274809145,141.0972689312977
01231,北海道,恵庭市,42.894329685185184,141.57862008641962
01233,北海道,伊達市,42.53094205555557,140.92329211111112
01234,北海道,北広島市,42.9761307230047,141.52938763380266
01235,北海道,石狩市,43.21278409433964,141.3317637830188
01236,北海道,北斗市,41.82956905263156,140.63658185964925
01303,北海道,石狩郡当別町,43.241627275,141.51165722500002
01304,北海道,石狩郡新篠津村,43.217330037037044,141.6125684444445
01331,北海道,松前郡松前町,41.47750114705883,140.05596097058825
01332,北海道,松前郡福島町,41.48038161111112,140.24540583333334
01333,北海道,上磯郡知内町,41.594223875,140.382625375
01334,北海道,上磯郡木古内町,41.70511731578947,140.45496163157895
01337,北海道,亀田郡七飯町,41.89171794736841,140.70442505263154
01343,北海道,茅部郡鹿部町,42.0199814,140.7873956
01345,北海道,茅部郡森町,42.10682637500002,140.6165719583333
01346,北海道,二海郡八雲町,42.20031550943394,140.21099350943408
01347,北海道,山越郡長万部町,42.517515149999994,140.34034624999998
01361,北海道,檜山郡江差町,41.88194675675676,140.14856870270273
01362,北海道,檜山郡上ノ国町,41.75908161538461,140.10716484615384
01363,北海道,檜山郡厚沢部町,41.92416939285714,140.30499757142857
01364,北海道,爾志郡乙部町,42.01236826666668,140.1477558666667
01367,北海道,奥尻郡奥尻町,42.147175,139.4842764
01370,北海道,瀬棚郡今金町,42.41316495238095,140.05608219047622
01371,北海道,久遠郡せたな町,42.37092405263159,139.87728521052634
01391,北海道,島牧郡島牧村,42.7118234347826,140.07742939130435
01392,北海道,寿都郡寿都町,42.791931000000005,140.24478454545456
01393,北海道,寿都郡黒松内町,42.679564652173916,140.34042817391307
01394,北海道,磯谷郡蘭越町,42.80198878124999,140.49076918749998
01395,北海道,虻田郡ニセコ町,42.793382750000006,140.679387
01396,北海道,虻田郡真狩村,42.75131824999999,140.798831375
01397,北海道,虻田郡留寿都村,42.7178212,140.88533609999996
01398,北海道,虻田郡喜茂別町,42.7810844736842,140.98609052631573
01399,北海道,虻田郡京極町,42.87356346153846,140.9266770769231
01400,北海道,虻田郡倶知安町,42.90243542331288,140.75853252147232
01401,北海道,岩内郡共和町,42.98685959999999,140.61154779999998
01402,北海道,岩内郡岩内町,42.973603999999995,140.50890641666663
01403,北海道,古宇郡泊村,43.09844460000001,140.51722279999998
01404,北海道,古宇郡神恵内村,43.194495999999994,140.41634633333334
01405,北海道,積丹郡積丹町,43.31587481818182,140.46251781818185
01406,北海道,古平郡古平町,43.251158727272724,140.6327886363636
01407,北海道,余市郡仁木町,43.13600998461539,140.76467567692302
01408,北海道,余市郡余市町,43.19432468000001,140.78683049333338
01409,北海道,余市郡赤井川村,43.068680916666665,140.85012966666665
01423,北海道,空知郡南幌町,43.057112827586224,141.64106820689656
01424,北海道,空知郡奈井江町,43.41290625,141.88954983333332
01425,北海道,空知郡上砂川町,43.4661645,141.99960816666666
01427,北海道,夕張郡由仁町,42.97918954166667,141.80164320833327
01428,北海道,夕張郡長沼町,43.00105555681816,141.6866048295454
01429,北海道,夕張郡栗山町,43.04550840000001,141.81594667500002
01430,北海道,樺戸郡月形町,43.332470375,141.66201131249997
01431,北海道,樺戸郡浦臼町,43.43699142857143,141.80037857142855
01432,北海道,樺戸郡新十津川町,43.581807545454545,141.79117163636363
