epoch,mode,loss
1,train,0.19087662359680793
1,val,0.18878715515136718
2,train,0.19033957972671045
2,val,0.18827468872070313
3,train,0.18980991479122278
3,val,0.18776432037353516
4,train,0.18928267739035867
4,val,0.18726110458374023
5,train,0.18876170148753157
5,val,0.1867613410949707
6,train,0.18824465587885694
6,val,0.18626495361328124
7,train,0.18773223414565576
7,val,0.185771427154541
8,train,0.18722399316652857
8,val,0.1852802276611328
9,train,0.1867174283422605
9,val,0.18479280471801757
10,train,0.18621471674755366
10,val,0.18430482864379882
11,train,0.1857140666306621
11,val,0.18381805419921876
12,train,0.18521516973322089
12,val,0.18333335876464843
13,train,0.18471833431359494
13,val,0.1828470230102539
14,train,0.18422265486283737
14,val,0.18236068725585938
15,train,0.18372739926733153
15,val,0.18187402725219726
16,train,0.18323229780100814
16,val,0.1813861083984375
17,train,0.1827367917455808
17,val,0.1808958625793457
18,train,0.1822397829306246
18,val,0.1804056167602539
19,train,0.18174206126819958
19,val,0.17991348266601562
20,train,0.18124241299099392
20,val,0.17941818237304688
21,train,0.1807416087449199
21,val,0.1789227294921875
22,train,0.18023939807005604
22,val,0.17842401504516603
23,train,0.1797336038917002
23,val,0.17792152404785155
24,train,0.17922465006510416
24,val,0.17741756439208983
25,train,0.1787137310914319
25,val,0.17690879821777344
26,train,0.1781986698959813
26,val,0.1763950538635254
27,train,0.17767744353323273
27,val,0.17587709426879883
28,train,0.17715348137749565
28,val,0.17535423278808593
29,train,0.17662501094317196
29,val,0.1748249626159668
30,train,0.17609224415788746
30,val,0.17429424285888673
31,train,0.17555620212747594
31,val,0.17375850677490234
32,train,0.1750160949398773
32,val,0.17321590423583985
33,train,0.17447009231104996
33,val,0.17266714096069335
34,train,0.1739193694760101
34,val,0.17211057662963866
35,train,0.1733606319234829
35,val,0.1715481948852539
36,train,0.1727964613172743
36,val,0.17097900390625
37,train,0.1722269154558278
37,val,0.17040477752685546
38,train,0.17165170534692628
38,val,0.169822998046875
39,train,0.17106867318201546
39,val,0.16923181533813478
40,train,0.17047779969494753
40,val,0.16863618850708006
41,train,0.16988033718532985
41,val,0.16802968978881835
42,train,0.16927453243371213
42,val,0.1674150848388672
43,train,0.16866079002919823
43,val,0.16679290771484376
44,train,0.16804009254532631
44,val,0.1661589813232422
45,train,0.16740924180156053
45,val,0.16551708221435546
46,train,0.16677249561656604
46,val,0.16486692428588867
47,train,0.16612788884326665
47,val,0.16420602798461914
48,train,0.16547305174548216
48,val,0.16353801727294923
49,train,0.1648102191963581
49,val,0.16285717010498046
50,train,0.1641366168706104
50,val,0.16216802597045898
51,train,0.1634552117550012
51,val,0.16146896362304688
52,train,0.16276403870245423
52,val,0.16076045989990234
53,train,0.1620642536818379
53,val,0.16004249572753906
54,train,0.16135490301883582
54,val,0.15931482315063478
55,train,0.16063757617064198
55,val,0.15857977867126466
56,train,0.15991120386605312
56,val,0.1578349018096924
57,train,0.15917581500429095
57,val,0.15707781791687012
58,train,0.15842972379742246
58,val,0.15631166458129883
59,train,0.1576746449326024
59,val,0.15553678512573244
60,train,0.15691071327286538
60,val,0.1547530174255371
61,train,0.15613868983104975
61,val,0.15396018028259278
62,train,0.1553565998270054
62,val,0.153156099319458
63,train,0.15456603271792632
63,val,0.15234437942504883
64,train,0.15376553390965317
64,val,0.151521520614624
65,train,0.15295602817728063
65,val,0.15069423675537108
66,train,0.1521400490192452
66,val,0.1498589038848877
67,train,0.15131440788808495
67,val,0.14901490211486818
68,train,0.15048307361024799
68,val,0.14816207885742189
69,train,0.1496435704857412
69,val,0.14730329513549806
70,train,0.14879796962545375
70,val,0.1464383602142334
71,train,0.14794480680215238
71,val,0.1455716896057129
72,train,0.14709089259908656
72,val,0.14469532966613768
73,train,0.14622821229876895
73,val,0.14381921768188477
74,train,0.14536407740429194
74,val,0.14293797492980956
75,train,0.1444963782724708
75,val,0.14205471992492677
76,train,0.14362305342549025
76,val,0.1411716651916504
77,train,0.14274954555010555
77,val,0.1402873992919922
78,train,0.14187422665682706
78,val,0.13940390586853027
79,train,0.14100072841451625
79,val,0.13852021217346192
80,train,0.14012592970722854
80,val,0.13763849258422853
81,train,0.13925412688592467
81,val,0.13675623893737793
82,train,0.13838293094827672
82,val,0.13588333129882812
83,train,0.13752202313355724
83,val,0.1350143814086914
84,train,0.13666245431611032
84,val,0.13415153503417968
85,train,0.13580991764261266
85,val,0.13329360008239746
86,train,0.13496099337182862
86,val,0.13244640350341796
87,train,0.1341216540095782
87,val,0.1316080379486084
88,train,0.13328914449672508
88,val,0.13077707290649415
89,train,0.1324665377838443
89,val,0.12996017456054687
90,train,0.13165554855809067
90,val,0.12915481567382814
91,train,0.13085740985292377
91,val,0.12836077690124512
92,train,0.13007141845394868
92,val,0.127581787109375
93,train,0.12929872069695983
93,val,0.1268165397644043
94,train,0.12854112759985106
94,val,0.12606318473815917
95,train,0.12779782998441447
95,val,0.12532730102539064
96,train,0.12707036914247455
96,val,0.12460412979125976
97,train,0.12635715561683733
97,val,0.12389811515808105
98,train,0.12566215823395083
98,val,0.12320941925048828
99,train,0.12498311322144788
99,val,0.12253663063049317
100,train,0.12432258297698666
100,val,0.12188352584838867
101,train,0.12367853492197364
101,val,0.12124626159667969
102,train,0.12305173006924716
102,val,0.12062886238098144
103,train,0.12244450925576567
103,val,0.12002901077270507
104,train,0.12185626559787327
104,val,0.11944333076477051
105,train,0.121283714217369
105,val,0.118878173828125
106,train,0.12073028448856238
106,val,0.11833105087280274
107,train,0.12019468557955039
107,val,0.11779911994934082
108,train,0.11967494271018288
108,val,0.1172861099243164
109,train,0.11917351231430516
109,val,0.11678962707519532
110,train,0.11868922878997494
110,val,0.11631446838378906
111,train,0.11822361416286892
111,val,0.11585294723510742
112,train,0.11777290190109099
112,val,0.11540968894958496
113,train,0.11734023238673355
113,val,0.11498292922973632
114,train,0.11692351524275962
114,val,0.11457117080688477
115,train,0.11652119954427083
115,val,0.11417681694030762
116,train,0.11613465318776141
116,val,0.11379801750183105
117,train,0.11576324039035374
117,val,0.11343403816223145
118,train,0.11540548729174065
118,val,0.11308423042297364
119,train,0.11506183701332169
119,val,0.1127471923828125
120,train,0.11473131661463265
120,val,0.11242381095886231
121,train,0.11441396462796914
121,val,0.11211586952209472
122,train,0.11410941499652284
122,val,0.11181953430175781
123,train,0.11381794707943695
123,val,0.11153413772583008
124,train,0.113536921414462
124,val,0.11126118659973144
125,train,0.11326667515918462
125,val,0.11100065231323242
126,train,0.11300904823072029
126,val,0.11074790000915527
127,train,0.11275971537888652
127,val,0.1105078125
128,train,0.1125217399211845
128,val,0.11027900695800781
129,train,0.11229280991987749
129,val,0.11005815505981445
130,train,0.11207371528702553
130,val,0.10984685897827148
131,train,0.11186179729423137
131,val,0.1096445655822754
132,train,0.1116600903597745
132,val,0.10944968223571777
133,train,0.11146477978638929
133,val,0.10926558494567871
134,train,0.11127878439546836
134,val,0.1090854549407959
135,train,0.11109858811503709
135,val,0.10891481399536133
136,train,0.11092620425754124
136,val,0.10874944686889648
137,train,0.11075897409458353
137,val,0.10859350204467773
138,train,0.11059980681448271
138,val,0.10844204902648925
139,train,0.11044673727016256
139,val,0.10829814910888672
140,train,0.11029923564255839
140,val,0.10815853118896485
141,train,0.11015663724957091
141,val,0.10802618026733399
142,train,0.1100199246647382
142,val,0.10789692878723145
143,train,0.10988774925771386
143,val,0.10777379989624024
144,train,0.1097605156176018
144,val,0.10765652656555176
145,train,0.10963785768759371
145,val,0.10754123687744141
146,train,0.10951870619648635
146,val,0.10743270874023438
147,train,0.10940362949563999
147,val,0.10732676506042481
148,train,0.10929348492863203
148,val,0.10722550392150879
149,train,0.10918531514177418
149,val,0.1071284294128418
150,train,0.10908236648097183
150,val,0.1070324420928955
151,train,0.10898175865712792
151,val,0.10694215774536132
152,train,0.10888412745312007
