label order: ['emotion.happy', 'emotion.funny', 'emotion.calm', 'emotion.sad', 'emotion.lonely', 'emotion.angry']
{'eval_loss': 0.6631011366844177, 'eval_f1': 0.42990654205607476, 'eval_runtime': 0.2097, 'eval_samples_per_second': 143.082, 'eval_steps_per_second': 9.539, 'epoch': 31.0}
{'eval_loss': 0.6623226404190063, 'eval_f1': 0.4276729559748428, 'eval_runtime': 0.2086, 'eval_samples_per_second': 143.825, 'eval_steps_per_second': 9.588, 'epoch': 32.0}
{'eval_loss': 0.6616118550300598, 'eval_f1': 0.42271293375394325, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.1, 'eval_steps_per_second': 9.607, 'epoch': 33.0}
{'eval_loss': 0.6609095335006714, 'eval_f1': 0.42138364779874216, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.109, 'eval_steps_per_second': 9.607, 'epoch': 34.0}
{'eval_loss': 0.6602191925048828, 'eval_f1': 0.4200626959247649, 'eval_runtime': 0.2075, 'eval_samples_per_second': 144.566, 'eval_steps_per_second': 9.638, 'epoch': 35.0}
{'eval_loss': 0.6594980955123901, 'eval_f1': 0.4200626959247649, 'eval_runtime': 0.2172, 'eval_samples_per_second': 138.102, 'eval_steps_per_second': 9.207, 'epoch': 36.0}
{'eval_loss': 0.658808171749115, 'eval_f1': 0.42271293375394325, 'eval_runtime': 0.2234, 'eval_samples_per_second': 134.271, 'eval_steps_per_second': 8.951, 'epoch': 37.0}
{'eval_loss': 0.658126950263977, 'eval_f1': 0.42271293375394325, 'eval_runtime': 0.2166, 'eval_samples_per_second': 138.502, 'eval_steps_per_second': 9.233, 'epoch': 38.0}
{'eval_loss': 0.6574535369873047, 'eval_f1': 0.4253968253968254, 'eval_runtime': 0.2223, 'eval_samples_per_second': 134.953, 'eval_steps_per_second': 8.997, 'epoch': 39.0}
{'eval_loss': 0.6568087339401245, 'eval_f1': 0.42038216560509556, 'eval_runtime': 0.2164, 'eval_samples_per_second': 138.625, 'eval_steps_per_second': 9.242, 'epoch': 40.0}
{'eval_loss': 0.6561321020126343, 'eval_f1': 0.4153354632587859, 'eval_runtime': 0.2177, 'eval_samples_per_second': 137.833, 'eval_steps_per_second': 9.189, 'epoch': 41.0}
{'eval_loss': 0.6554498076438904, 'eval_f1': 0.4115755627009646, 'eval_runtime': 0.216, 'eval_samples_per_second': 138.871, 'eval_steps_per_second': 9.258, 'epoch': 42.0}
{'eval_loss': 0.654786229133606, 'eval_f1': 0.4115755627009646, 'eval_runtime': 0.2164, 'eval_samples_per_second': 138.618, 'eval_steps_per_second': 9.241, 'epoch': 43.0}
{'eval_loss': 0.6541369557380676, 'eval_f1': 0.41666666666666663, 'eval_runtime': 0.2234, 'eval_samples_per_second': 134.314, 'eval_steps_per_second': 8.954, 'epoch': 44.0}
{'eval_loss': 0.6534560918807983, 'eval_f1': 0.4115755627009646, 'eval_runtime': 0.2183, 'eval_samples_per_second': 137.433, 'eval_steps_per_second': 9.162, 'epoch': 45.0}
{'eval_loss': 0.6527957916259766, 'eval_f1': 0.4115755627009646, 'eval_runtime': 0.2639, 'eval_samples_per_second': 113.692, 'eval_steps_per_second': 7.579, 'epoch': 46.0}
{'eval_loss': 0.6521578431129456, 'eval_f1': 0.4115755627009646, 'eval_runtime': 0.2102, 'eval_samples_per_second': 142.695, 'eval_steps_per_second': 9.513, 'epoch': 47.0}
{'eval_loss': 0.6515187621116638, 'eval_f1': 0.4129032258064516, 'eval_runtime': 0.2081, 'eval_samples_per_second': 144.173, 'eval_steps_per_second': 9.612, 'epoch': 48.0}
{'eval_loss': 0.6508921980857849, 'eval_f1': 0.41800643086816724, 'eval_runtime': 0.2034, 'eval_samples_per_second': 147.457, 'eval_steps_per_second': 9.83, 'epoch': 49.0}
{'eval_loss': 0.6502718329429626, 'eval_f1': 0.41800643086816724, 'eval_runtime': 0.209, 'eval_samples_per_second': 143.567, 'eval_steps_per_second': 9.571, 'epoch': 50.0}
{'eval_loss': 0.649683952331543, 'eval_f1': 0.41800643086816724, 'eval_runtime': 0.2182, 'eval_samples_per_second': 137.461, 'eval_steps_per_second': 9.164, 'epoch': 51.0}
{'eval_loss': 0.649084746837616, 'eval_f1': 0.4129032258064516, 'eval_runtime': 0.2197, 'eval_samples_per_second': 136.531, 'eval_steps_per_second': 9.102, 'epoch': 52.0}
{'eval_loss': 0.6484529972076416, 'eval_f1': 0.4129032258064516, 'eval_runtime': 0.2137, 'eval_samples_per_second': 140.396, 'eval_steps_per_second': 9.36, 'epoch': 53.0}
{'eval_loss': 0.6478551030158997, 'eval_f1': 0.41800643086816724, 'eval_runtime': 0.225, 'eval_samples_per_second': 133.309, 'eval_steps_per_second': 8.887, 'epoch': 54.0}
{'eval_loss': 0.6472697854042053, 'eval_f1': 0.41558441558441556, 'eval_runtime': 0.227, 'eval_samples_per_second': 132.147, 'eval_steps_per_second': 8.81, 'epoch': 55.0}
{'eval_loss': 0.6466976404190063, 'eval_f1': 0.4129032258064516, 'eval_runtime': 0.2263, 'eval_samples_per_second': 132.562, 'eval_steps_per_second': 8.837, 'epoch': 56.0}
{'eval_loss': 0.646145761013031, 'eval_f1': 0.4115755627009646, 'eval_runtime': 0.2262, 'eval_samples_per_second': 132.604, 'eval_steps_per_second': 8.84, 'epoch': 57.0}
{'eval_loss': 0.645612359046936, 'eval_f1': 0.40645161290322585, 'eval_runtime': 0.2295, 'eval_samples_per_second': 130.722, 'eval_steps_per_second': 8.715, 'epoch': 58.0}
{'eval_loss': 0.6451146602630615, 'eval_f1': 0.40645161290322585, 'eval_runtime': 0.2283, 'eval_samples_per_second': 131.396, 'eval_steps_per_second': 8.76, 'epoch': 59.0}
{'eval_loss': 0.6446073651313782, 'eval_f1': 0.40129449838187703, 'eval_runtime': 0.2291, 'eval_samples_per_second': 130.954, 'eval_steps_per_second': 8.73, 'epoch': 60.0}
{'eval_loss': 0.644126832485199, 'eval_f1': 0.40259740259740256, 'eval_runtime': 0.2151, 'eval_samples_per_second': 139.462, 'eval_steps_per_second': 9.297, 'epoch': 61.0}
{'eval_loss': 0.6436394453048706, 'eval_f1': 0.40259740259740256, 'eval_runtime': 0.2138, 'eval_samples_per_second': 140.338, 'eval_steps_per_second': 9.356, 'epoch': 62.0}
{'loss': 0.6653, 'grad_norm': 0.9706224799156189, 'learning_rate': 1.9583333333333332e-07, 'epoch': 62.5}
{'eval_loss': 0.643124520778656, 'eval_f1': 0.40259740259740256, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.098, 'eval_steps_per_second': 9.607, 'epoch': 63.0}
{'eval_loss': 0.642619252204895, 'eval_f1': 0.40129449838187703, 'eval_runtime': 0.2064, 'eval_samples_per_second': 145.33, 'eval_steps_per_second': 9.689, 'epoch': 64.0}
{'eval_loss': 0.6421253085136414, 'eval_f1': 0.3973941368078176, 'eval_runtime': 0.2069, 'eval_samples_per_second': 145.022, 'eval_steps_per_second': 9.668, 'epoch': 65.0}
{'eval_loss': 0.6416323781013489, 'eval_f1': 0.3973941368078176, 'eval_runtime': 0.2072, 'eval_samples_per_second': 144.82, 'eval_steps_per_second': 9.655, 'epoch': 66.0}
{'eval_loss': 0.6411727666854858, 'eval_f1': 0.3961038961038961, 'eval_runtime': 0.2072, 'eval_samples_per_second': 144.814, 'eval_steps_per_second': 9.654, 'epoch': 67.0}
{'eval_loss': 0.6407040953636169, 'eval_f1': 0.3961038961038961, 'eval_runtime': 0.2068, 'eval_samples_per_second': 145.082, 'eval_steps_per_second': 9.672, 'epoch': 68.0}
{'eval_loss': 0.6402156352996826, 'eval_f1': 0.39215686274509803, 'eval_runtime': 0.2062, 'eval_samples_per_second': 145.505, 'eval_steps_per_second': 9.7, 'epoch': 69.0}
{'eval_loss': 0.6397411227226257, 'eval_f1': 0.39215686274509803, 'eval_runtime': 0.2083, 'eval_samples_per_second': 143.997, 'eval_steps_per_second': 9.6, 'epoch': 70.0}
{'eval_loss': 0.6392737030982971, 'eval_f1': 0.39215686274509803, 'eval_runtime': 0.2189, 'eval_samples_per_second': 137.024, 'eval_steps_per_second': 9.135, 'epoch': 71.0}
{'eval_loss': 0.638805627822876, 'eval_f1': 0.39215686274509803, 'eval_runtime': 0.2075, 'eval_samples_per_second': 144.573, 'eval_steps_per_second': 9.638, 'epoch': 72.0}
{'eval_loss': 0.638349175453186, 'eval_f1': 0.39215686274509803, 'eval_runtime': 0.208, 'eval_samples_per_second': 144.242, 'eval_steps_per_second': 9.616, 'epoch': 73.0}
{'eval_loss': 0.6379185318946838, 'eval_f1': 0.39215686274509803, 'eval_runtime': 0.2085, 'eval_samples_per_second': 143.882, 'eval_steps_per_second': 9.592, 'epoch': 74.0}
{'eval_loss': 0.6374940276145935, 'eval_f1': 0.39215686274509803, 'eval_runtime': 0.2023, 'eval_samples_per_second': 148.331, 'eval_steps_per_second': 9.889, 'epoch': 75.0}
{'eval_loss': 0.6370686292648315, 'eval_f1': 0.3856209150326797, 'eval_runtime': 0.2209, 'eval_samples_per_second': 135.813, 'eval_steps_per_second': 9.054, 'epoch': 76.0}
{'eval_loss': 0.6366433501243591, 'eval_f1': 0.39087947882736157, 'eval_runtime': 0.2185, 'eval_samples_per_second': 137.272, 'eval_steps_per_second': 9.151, 'epoch': 77.0}
{'eval_loss': 0.6361944079399109, 'eval_f1': 0.39087947882736157, 'eval_runtime': 0.2036, 'eval_samples_per_second': 147.333, 'eval_steps_per_second': 9.822, 'epoch': 78.0}
{'eval_loss': 0.6357463002204895, 'eval_f1': 0.39215686274509803, 'eval_runtime': 0.1825, 'eval_samples_per_second': 164.403, 'eval_steps_per_second': 10.96, 'epoch': 79.0}
{'eval_loss': 0.6353094577789307, 'eval_f1': 0.39344262295081966, 'eval_runtime': 0.2168, 'eval_samples_per_second': 138.406, 'eval_steps_per_second': 9.227, 'epoch': 80.0}
{'eval_loss': 0.6349099278450012, 'eval_f1': 0.39344262295081966, 'eval_runtime': 0.2184, 'eval_samples_per_second': 137.369, 'eval_steps_per_second': 9.158, 'epoch': 81.0}
{'eval_loss': 0.6345162987709045, 'eval_f1': 0.39344262295081966, 'eval_runtime': 0.2186, 'eval_samples_per_second': 137.213, 'eval_steps_per_second': 9.148, 'epoch': 82.0}
{'eval_loss': 0.6341074705123901, 'eval_f1': 0.3907284768211921, 'eval_runtime': 0.2181, 'eval_samples_per_second': 137.575, 'eval_steps_per_second': 9.172, 'epoch': 83.0}
{'eval_loss': 0.6337050199508667, 'eval_f1': 0.3907284768211921, 'eval_runtime': 0.2276, 'eval_samples_per_second': 131.808, 'eval_steps_per_second': 8.787, 'epoch': 84.0}
{'eval_loss': 0.6332862377166748, 'eval_f1': 0.3853820598006645, 'eval_runtime': 0.2208, 'eval_samples_per_second': 135.856, 'eval_steps_per_second': 9.057, 'epoch': 85.0}
{'eval_loss': 0.6328710317611694, 'eval_f1': 0.37999999999999995, 'eval_runtime': 0.2169, 'eval_samples_per_second': 138.318, 'eval_steps_per_second': 9.221, 'epoch': 86.0}
{'eval_loss': 0.6324653625488281, 'eval_f1': 0.37999999999999995, 'eval_runtime': 0.2165, 'eval_samples_per_second': 138.585, 'eval_steps_per_second': 9.239, 'epoch': 87.0}
{'eval_loss': 0.6320436596870422, 'eval_f1': 0.37458193979933113, 'eval_runtime': 0.2162, 'eval_samples_per_second': 138.75, 'eval_steps_per_second': 9.25, 'epoch': 88.0}
{'eval_loss': 0.6316490173339844, 'eval_f1': 0.37458193979933113, 'eval_runtime': 0.2263, 'eval_samples_per_second': 132.585, 'eval_steps_per_second': 8.839, 'epoch': 89.0}
{'eval_loss': 0.6312568783760071, 'eval_f1': 0.37999999999999995, 'eval_runtime': 0.2257, 'eval_samples_per_second': 132.918, 'eval_steps_per_second': 8.861, 'epoch': 90.0}
{'eval_loss': 0.6308948397636414, 'eval_f1': 0.3812709030100334, 'eval_runtime': 0.2269, 'eval_samples_per_second': 132.221, 'eval_steps_per_second': 8.815, 'epoch': 91.0}
{'eval_loss': 0.6305166482925415, 'eval_f1': 0.3771043771043771, 'eval_runtime': 0.2307, 'eval_samples_per_second': 130.058, 'eval_steps_per_second': 8.671, 'epoch': 92.0}
{'eval_loss': 0.6301401853561401, 'eval_f1': 0.3771043771043771, 'eval_runtime': 0.228, 'eval_samples_per_second': 131.591, 'eval_steps_per_second': 8.773, 'epoch': 93.0}
{'eval_loss': 0.6297584176063538, 'eval_f1': 0.3771043771043771, 'eval_runtime': 0.2022, 'eval_samples_per_second': 148.343, 'eval_steps_per_second': 9.89, 'epoch': 94.0}
{'eval_loss': 0.6293935775756836, 'eval_f1': 0.3771043771043771, 'eval_runtime': 0.2173, 'eval_samples_per_second': 138.06, 'eval_steps_per_second': 9.204, 'epoch': 95.0}
{'eval_loss': 0.6289994120597839, 'eval_f1': 0.3716216216216216, 'eval_runtime': 0.2178, 'eval_samples_per_second': 137.738, 'eval_steps_per_second': 9.183, 'epoch': 96.0}
{'eval_loss': 0.6286341547966003, 'eval_f1': 0.37037037037037035, 'eval_runtime': 0.2229, 'eval_samples_per_second': 134.578, 'eval_steps_per_second': 8.972, 'epoch': 97.0}
{'eval_loss': 0.6282708048820496, 'eval_f1': 0.36486486486486486, 'eval_runtime': 0.2049, 'eval_samples_per_second': 146.381, 'eval_steps_per_second': 9.759, 'epoch': 98.0}
{'eval_loss': 0.6279058456420898, 'eval_f1': 0.36486486486486486, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.094, 'eval_steps_per_second': 9.606, 'epoch': 99.0}
{'eval_loss': 0.6275591254234314, 'eval_f1': 0.36486486486486486, 'eval_runtime': 0.2065, 'eval_samples_per_second': 145.312, 'eval_steps_per_second': 9.687, 'epoch': 100.0}
{'eval_loss': 0.6271932721138, 'eval_f1': 0.36610169491525424, 'eval_runtime': 0.2104, 'eval_samples_per_second': 142.597, 'eval_steps_per_second': 9.506, 'epoch': 101.0}
{'eval_loss': 0.6268576979637146, 'eval_f1': 0.36610169491525424, 'eval_runtime': 0.2136, 'eval_samples_per_second': 140.449, 'eval_steps_per_second': 9.363, 'epoch': 102.0}
{'eval_loss': 0.6265019178390503, 'eval_f1': 0.36054421768707484, 'eval_runtime': 0.2104, 'eval_samples_per_second': 142.554, 'eval_steps_per_second': 9.504, 'epoch': 103.0}
{'eval_loss': 0.6261637806892395, 'eval_f1': 0.36177474402730375, 'eval_runtime': 0.2216, 'eval_samples_per_second': 135.382, 'eval_steps_per_second': 9.025, 'epoch': 104.0}
{'eval_loss': 0.6257981061935425, 'eval_f1': 0.36177474402730375, 'eval_runtime': 0.2311, 'eval_samples_per_second': 129.794, 'eval_steps_per_second': 8.653, 'epoch': 105.0}
{'eval_loss': 0.6254103183746338, 'eval_f1': 0.36177474402730375, 'eval_runtime': 0.2147, 'eval_samples_per_second': 139.706, 'eval_steps_per_second': 9.314, 'epoch': 106.0}
{'eval_loss': 0.6250130534172058, 'eval_f1': 0.3673469387755102, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.101, 'eval_steps_per_second': 9.607, 'epoch': 107.0}
{'eval_loss': 0.6245933771133423, 'eval_f1': 0.3673469387755102, 'eval_runtime': 0.2082, 'eval_samples_per_second': 144.118, 'eval_steps_per_second': 9.608, 'epoch': 108.0}
{'eval_loss': 0.6242048740386963, 'eval_f1': 0.3686006825938567, 'eval_runtime': 0.2166, 'eval_samples_per_second': 138.52, 'eval_steps_per_second': 9.235, 'epoch': 109.0}
{'eval_loss': 0.6238778829574585, 'eval_f1': 0.36301369863013705, 'eval_runtime': 0.2246, 'eval_samples_per_second': 133.573, 'eval_steps_per_second': 8.905, 'epoch': 110.0}
{'eval_loss': 0.6236138939857483, 'eval_f1': 0.36177474402730375, 'eval_runtime': 0.2057, 'eval_samples_per_second': 145.879, 'eval_steps_per_second': 9.725, 'epoch': 111.0}
{'eval_loss': 0.62331223487854, 'eval_f1': 0.36177474402730375, 'eval_runtime': 0.2041, 'eval_samples_per_second': 147.009, 'eval_steps_per_second': 9.801, 'epoch': 112.0}
{'eval_loss': 0.6230190396308899, 'eval_f1': 0.3673469387755102, 'eval_runtime': 0.2243, 'eval_samples_per_second': 133.726, 'eval_steps_per_second': 8.915, 'epoch': 113.0}
{'eval_loss': 0.6227205395698547, 'eval_f1': 0.3561643835616438, 'eval_runtime': 0.2063, 'eval_samples_per_second': 145.425, 'eval_steps_per_second': 9.695, 'epoch': 114.0}
{'eval_loss': 0.6224132180213928, 'eval_f1': 0.34931506849315064, 'eval_runtime': 0.2029, 'eval_samples_per_second': 147.851, 'eval_steps_per_second': 9.857, 'epoch': 115.0}
{'eval_loss': 0.6220740079879761, 'eval_f1': 0.34364261168384885, 'eval_runtime': 0.2033, 'eval_samples_per_second': 147.548, 'eval_steps_per_second': 9.837, 'epoch': 116.0}
{'eval_loss': 0.6218060255050659, 'eval_f1': 0.34364261168384885, 'eval_runtime': 0.203, 'eval_samples_per_second': 147.751, 'eval_steps_per_second': 9.85, 'epoch': 117.0}
{'eval_loss': 0.6215395331382751, 'eval_f1': 0.34364261168384885, 'eval_runtime': 0.2041, 'eval_samples_per_second': 146.99, 'eval_steps_per_second': 9.799, 'epoch': 118.0}
{'eval_loss': 0.6212043762207031, 'eval_f1': 0.3448275862068966, 'eval_runtime': 0.204, 'eval_samples_per_second': 147.058, 'eval_steps_per_second': 9.804, 'epoch': 119.0}
{'eval_loss': 0.6208327412605286, 'eval_f1': 0.34602076124567477, 'eval_runtime': 0.2045, 'eval_samples_per_second': 146.703, 'eval_steps_per_second': 9.78, 'epoch': 120.0}
{'eval_loss': 0.6204350590705872, 'eval_f1': 0.34602076124567477, 'eval_runtime': 0.2046, 'eval_samples_per_second': 146.647, 'eval_steps_per_second': 9.776, 'epoch': 121.0}
{'eval_loss': 0.6199254989624023, 'eval_f1': 0.3472222222222222, 'eval_runtime': 0.2027, 'eval_samples_per_second': 147.966, 'eval_steps_per_second': 9.864, 'epoch': 122.0}
{'eval_loss': 0.6194964051246643, 'eval_f1': 0.34843205574912894, 'eval_runtime': 0.2032, 'eval_samples_per_second': 147.659, 'eval_steps_per_second': 9.844, 'epoch': 123.0}
{'eval_loss': 0.6191428899765015, 'eval_f1': 0.3496503496503497, 'eval_runtime': 0.2028, 'eval_samples_per_second': 147.965, 'eval_steps_per_second': 9.864, 'epoch': 124.0}
{'loss': 0.6261, 'grad_norm': 1.1804354190826416, 'learning_rate': 1.9166666666666668e-07, 'epoch': 125.0}
{'eval_loss': 0.6188352108001709, 'eval_f1': 0.3496503496503497, 'eval_runtime': 0.2079, 'eval_samples_per_second': 144.284, 'eval_steps_per_second': 9.619, 'epoch': 125.0}
{'eval_loss': 0.6185373663902283, 'eval_f1': 0.3496503496503497, 'eval_runtime': 0.2075, 'eval_samples_per_second': 144.592, 'eval_steps_per_second': 9.639, 'epoch': 126.0}
{'eval_loss': 0.6182546615600586, 'eval_f1': 0.343859649122807, 'eval_runtime': 0.2105, 'eval_samples_per_second': 142.52, 'eval_steps_per_second': 9.501, 'epoch': 127.0}
{'eval_loss': 0.6179696321487427, 'eval_f1': 0.34507042253521125, 'eval_runtime': 0.2076, 'eval_samples_per_second': 144.543, 'eval_steps_per_second': 9.636, 'epoch': 128.0}
